wavelengths;phytoplankton;cryptophyta;cyanobacteria;diatoms;dinoflagellates;green algae;brown algae;cyanobacteria blue;cyanobacteria red
599;0.0096;0.002071;0.007423;0.009427244;0.01545;0.007528;0.00780282;0.013956261;0.01093108
600;0.0095;0.002072;0.007406;0.009421271;0.015384;0.007531;0.007696366;0.01414751;0.01091794
601;0.0095;0.002087;0.007355;0.009423357;0.01532;0.007538;0.007607148;0.014360142;0.010842382
602;0.0094;0.002115;0.007304;0.009433975;0.015261;0.007552;0.00751793;0.014572775;0.010766824
603;0.0094;0.002156;0.007253;0.009453519;0.015205;0.007573;0.007437991;0.014821301;0.010689175
604;0.0094;0.002209;0.0072;0.009482338;0.015154;0.007601;0.007358052;0.015069828;0.010611527
605;0.0094;0.00227;0.007148;0.009520669;0.015106;0.007636;0.007310303;0.015350098;0.010508629
606;0.0094;0.002337;0.007065;0.009568764;0.015062;0.007679;0.007262554;0.015630367;0.010405731
607;0.0094;0.002413;0.006966;0.009626671;0.015024;0.00773;0.007286713;0.015935211;0.010306369
608;0.0094;0.002498;0.006907;0.009694248;0.014989;0.007788;0.007310872;0.016240056;0.010207007
609;0.0094;0.002585;0.00689;0.009771226;0.01496;0.007854;0.007386223;0.016559288;0.010191917
610;0.0094;0.002673;0.006904;0.009857304;0.014935;0.007926;0.007461574;0.01687852;0.010176827
611;0.0095;0.002761;0.006944;0.009951741;0.014915;0.008004;0.007556822;0.017206657;0.010234744
612;0.0095;0.002848;0.00699;0.010053524;0.014901;0.008087;0.00765207;0.017534794;0.010292661
613;0.0096;0.002936;0.007008;0.010161612;0.014892;0.008174;0.007751272;0.01786652;0.010318233
614;0.0096;0.00302;0.007017;0.010274392;0.014888;0.008264;0.007850474;0.018198247;0.010343805
615;0.0097;0.003101;0.007028;0.010390143;0.014889;0.008356;0.007951074;0.018513057;0.010364329
616;0.0098;0.00318;0.007042;0.010506731;0.014896;0.008448;0.008051675;0.018827867;0.010384853
617;0.0098;0.003256;0.00706;0.010621676;0.014907;0.008538;0.008142462;0.019116426;0.010421983
618;0.0099;0.003327;0.007086;0.010732561;0.014924;0.008625;0.008233248;0.019404985;0.010459114
619;0.01;0.003394;0.007132;0.01083662;0.014944;0.008708;0.008309102;0.01966913;0.010528864
620;0.0101;0.003456;0.007191;0.010931119;0.014968;0.008785;0.008384956;0.019933275;0.010598613
621;0.0101;0.003516;0.007264;0.011013453;0.014995;0.008855;0.008458232;0.020179914;0.01070568
622;0.0102;0.003573;0.00734;0.011081314;0.015023;0.008916;0.008531507;0.020426552;0.010812748
623;0.0103;0.003629;0.007402;0.011132759;0.015053;0.008968;0.008617197;0.020644415;0.010898354
624;0.0103;0.003682;0.007455;0.01116646;0.01508;0.009011;0.008702886;0.020862277;0.010983959
625;0.0104;0.003731;0.007504;0.011181707;0.015107;0.009044;0.008815781;0.021031222;0.01105135
626;0.0104;0.003776;0.00755;0.011178484;0.015129;0.009068;0.008928677;0.021200168;0.011118742
627;0.0104;0.003817;0.007588;0.011157549;0.015147;0.009084;0.009038101;0.021302143;0.011161317
628;0.0104;0.003854;0.007609;0.011120356;0.015158;0.009091;0.009147524;0.021404118;0.011203893
629;0.0104;0.003887;0.007602;0.011068927;0.015162;0.009093;0.009226711;0.02142316;0.0112052
630;0.0104;0.003915;0.007602;0.011005838;0.015158;0.009091;0.009305898;0.021442202;0.011206508
631;0.0103;0.003938;0.007625;0.010933995;0.015146;0.009087;0.00936545;0.021385237;0.011239239
632;0.0103;0.003957;0.007651;0.010856559;0.015126;0.009084;0.009425002;0.021328273;0.01127197
633;0.0103;0.003969;0.007667;0.010776643;0.015098;0.009083;0.009467751;0.021207761;0.011291358
634;0.0102;0.003974;0.007675;0.010697485;0.015065;0.009089;0.0095105;0.021087248;0.011310746
635;0.0102;0.003976;0.007686;0.01062215;0.015026;0.009103;0.009544241;0.020895858;0.011339554
636;0.0101;0.003975;0.007708;0.010553484;0.014986;0.00913;0.009577982;0.020704469;0.011368363
637;0.0101;0.00397;0.007738;0.010494186;0.014943;0.009172;0.009586543;0.020437804;0.011421029
638;0.01;0.00396;0.00778;0.010446612;0.014901;0.009232;0.009595103;0.02017114;0.011473694
639;0.01;0.003946;0.007853;0.010412958;0.014862;0.009314;0.00955302;0.019827737;0.011556326
640;0.01;0.00393;0.007897;0.010395231;0.014828;0.009421;0.009510937;0.019484333;0.011638958
641;0.01;0.003911;0.007889;0.010395278;0.0148;0.009556;0.009429021;0.019070173;0.011621639
642;0.01;0.00389;0.007872;0.010414791;0.01478;0.009722;0.009347106;0.018656014;0.011604319
643;0.01;0.003868;0.007866;0.010455318;0.01477;0.009921;0.009246649;0.01820743;0.011597417
644;0.0101;0.003853;0.007862;0.010518376;0.014771;0.010155;0.009146193;0.017758846;0.011590515
645;0.0102;0.003844;0.00786;0.010605513;0.014784;0.010424;0.009013333;0.017310975;0.011593215
646;0.0103;0.003851;0.007862;0.01071823;0.014811;0.010727;0.008880473;0.016863103;0.011595916
647;0.0104;0.003874;0.007869;0.01085806;0.014853;0.011059;0.008776059;0.016449609;0.011623111
648;0.0105;0.003915;0.007887;0.01102652;0.014911;0.011411;0.008671645;0.016036116;0.011650307
649;0.0107;0.00398;0.00794;0.0112253;0.014987;0.011774;0.008647467;0.015689199;0.011732596
650;0.0109;0.004073;0.008016;0.011456296;0.015083;0.012133;0.008623289;0.015342282;0.011814885
651;0.0111;0.004202;0.008116;0.011721214;0.015198;0.012471;0.008692496;0.015111314;0.011992945
652;0.0113;0.004371;0.008245;0.012022015;0.015336;0.012773;0.008761704;0.014880346;0.012171005
653;0.0115;0.004586;0.008397;0.012360798;0.015497;0.013028;0.008999705;0.014778108;0.012438754
654;0.0118;0.004844;0.008584;0.012739113;0.015685;0.01323;0.009237705;0.014675871;0.012706503
655;0.0121;0.005148;0.008824;0.013159109;0.0159;0.013385;0.009684118;0.01472282;0.013081786
